id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000cyv7,2004-06-26 12:50:28.840000+00:00,3.8,m,58.8,29.085,-16.284,162.97,205.168
usp000cz69,2004-06-29 20:40:30.220000+00:00,1.3,mblg,29.5,28.006,-16.27,170.385,3814.445
usp000d098,2004-07-16 09:31:22.930000+00:00,3.4,mblg,17.3,28.092,-15.028,284.008,566.671
usp000d0eb,2004-07-18 14:36:35.160000+00:00,2.5,mblg,36.9,27.639,-15.424,263.109,1479.573
usp000d5hh,2004-10-01 15:18:00.080000+00:00,2.9,mblg,18.5,27.955,-15.204,271.033,961.663
usp000d8qe,2004-11-18 14:42:28.990000+00:00,2.5,mblg,0.0,29.534,-17.827,102.62,577.074
usp000dgk9,2005-02-20 12:43:13.200000+00:00,2.5,mblg,0.0,28.056,-16.242,170.776,960.341
usp000dgvv,2005-02-24 14:56:15.520000+00:00,2.6,mblg,31.9,28.151,-15.987,191.078,957.66
usp000dj5v,2005-03-14 05:03:39.580000+00:00,2.6,mblg,0.0,29.148,-14.476,335.763,1682.801
usp000dkux,2005-03-31 22:24:40.140000+00:00,2.8,m,28.4,28.192,-16.155,173.973,692.599
usp000dp3q,2005-04-24 04:18:21.330000+00:00,2.6,mblg,37.9,27.79,-15.011,294.683,1476.914
usp000dp7u,2005-04-25 21:14:35.130000+00:00,2.5,mblg,4.4,28.133,-16.195,172.171,968.186
usp000dq4w,2005-05-07 13:50:27.250000+00:00,2.5,mblg,15.3,28.079,-16.177,175.827,988.746
usp000ds34,2005-06-02 19:27:58.400000+00:00,3.8,m,0.0,31.194,-16.632,311.032,391.566
usp000dtue,2005-06-24 16:56:04.880000+00:00,2.7,mblg,23.1,28.055,-16.217,173.101,773.213
usp000du6m,2005-06-30 01:01:02.320000+00:00,2.8,m,68.4,28.996,-16.518,138.247,550.372
usp000dxu6,2005-08-22 07:05:03.040000+00:00,2.8,m,41.2,28.18,-16.224,167.863,668.276
usp000dyks,2005-09-02 15:14:10.620000+00:00,2.7,mblg,7.3,28.056,-16.248,170.228,760.38
usp000dzm2,2005-09-17 16:23:32.880000+00:00,2.8,mblg,21.3,28.03,-16.15,180.245,717.57
usp000e4pk,2005-11-22 05:20:54.990000+00:00,2.6,mblg,0.0,29.443,-14.676,323.958,1623.639
usp000e4q0,2005-11-22 11:32:22.630000+00:00,4.1,m,38.6,28.584,-16.708,113.236,100.922
usp000e5pu,2005-12-07 06:02:00.660000+00:00,3.9,m,77.5,29.458,-16.765,142.61,160.011
usp000e82d,2006-01-11 23:09:56.600000+00:00,4.2,m,0.0,31.675,-16.88,353.848,281.071
usp000eayc,2006-02-27 01:28:55.270000+00:00,2.5,mblg,7.4,27.939,-17.868,75.004,421.781
